epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1901.73,1.28428,0.95644,1.18343,0.74455,0.6384,0.71,0.40538,1.53239,1.19664,1.36094,0.000990365,0.000990365,0.000990365
43,1928.47,1.30434,0.96586,1.18994,0.75454,0.63774,0.72117,0.41208,1.52817,1.19446,1.3663,0.000973861,0.000973861,0.000973861
44,1958.46,1.30905,0.97837,1.19927,0.7533,0.64707,0.72247,0.41573,1.52984,1.16972,1.37694,0.000957358,0.000957358,0.000957358
45,1988.04,1.2835,0.94971,1.18903,0.75096,0.63587,0.71817,0.4111,1.54166,1.16819,1.36018,0.000940855,0.000940855,0.000940855
46,2018.43,1.28622,0.96285,1.19339,0.73722,0.6558,0.7222,0.41082,1.54206,1.1667,1.3633,0.000924352,0.000924352,0.000924352
47,2048.43,1.27162,0.94418,1.1788,0.73565,0.65611,0.72062,0.41253,1.54024,1.1668,1.3642,0.000907848,0.000907848,0.000907848
48,2078.96,1.27335,0.93724,1.1752,0.73742,0.65352,0.72385,0.41242,1.53141,1.1707,1.35996,0.000891345,0.000891345,0.000891345
49,2110.03,1.26819,0.92415,1.17218,0.72717,0.64938,0.71596,0.40355,1.56542,1.18013,1.37242,0.000874842,0.000874842,0.000874842
50,2139.65,1.27267,0.92397,1.17371,0.73112,0.65722,0.71899,0.411,1.52849,1.17053,1.35267,0.000858338,0.000858338,0.000858338
51,2169.73,1.26975,0.93115,1.17467,0.75532,0.63859,0.72664,0.41573,1.53997,1.15434,1.37396,0.000841835,0.000841835,0.000841835
52,2199.86,1.25909,0.90536,1.17227,0.74635,0.6535,0.72418,0.41612,1.53728,1.1529,1.37579,0.000825332,0.000825332,0.000825332
53,2230.77,1.24424,0.91046,1.16629,0.74493,0.65023,0.72285,0.40871,1.52973,1.17609,1.35463,0.000808828,0.000808828,0.000808828
54,2260.72,1.2316,0.88729,1.15987,0.74075,0.65557,0.7224,0.41325,1.52746,1.15472,1.3657,0.000792325,0.000792325,0.000792325
55,2290.3,1.21471,0.88583,1.15672,0.7417,0.65509,0.72238,0.41225,1.53111,1.15986,1.35393,0.000775822,0.000775822,0.000775822
56,2320.82,1.22989,0.86364,1.14702,0.72905,0.66035,0.71496,0.41072,1.53671,1.16643,1.35672,0.000759318,0.000759318,0.000759318
57,2350.54,1.2188,0.87641,1.15107,0.73873,0.65934,0.72798,0.421,1.52289,1.14825,1.35267,0.000742815,0.000742815,0.000742815
58,2380.07,1.23248,0.86628,1.14857,0.73276,0.66607,0.73089,0.42103,1.52693,1.15528,1.35676,0.000726312,0.000726312,0.000726312
59,2410.36,1.2165,0.85695,1.13936,0.74182,0.65701,0.72268,0.41322,1.53701,1.14607,1.36413,0.000709809,0.000709809,0.000709809
60,2439.89,1.1985,0.85027,1.13647,0.72489,0.66431,0.72254,0.4118,1.5378,1.15629,1.36086,0.000693305,0.000693305,0.000693305
61,2470.19,1.21135,0.85716,1.13672,0.73399,0.65373,0.72313,0.41666,1.53827,1.13236,1.37092,0.000676802,0.000676802,0.000676802
62,2499.59,1.21035,0.85603,1.13509,0.73888,0.65675,0.72503,0.41661,1.53385,1.14769,1.36735,0.000660299,0.000660299,0.000660299
63,2530.16,1.21313,0.8538,1.1454,0.74722,0.66354,0.72952,0.41937,1.53528,1.13237,1.36391,0.000643795,0.000643795,0.000643795
64,2560.45,1.19369,0.84281,1.13758,0.73577,0.66647,0.72277,0.41285,1.53251,1.15529,1.35897,0.000627292,0.000627292,0.000627292
65,2590.96,1.19818,0.84525,1.13739,0.7543,0.65826,0.72752,0.42046,1.54054,1.13583,1.3701,0.000610789,0.000610789,0.000610789
66,2618.75,1.19313,0.82956,1.12618,0.74151,0.66456,0.72495,0.41801,1.55071,1.13593,1.37945,0.000594286,0.000594286,0.000594286
67,2649.11,1.17443,0.81719,1.11811,0.7306,0.66886,0.72367,0.41574,1.55212,1.14734,1.38132,0.000577782,0.000577782,0.000577782
68,2680,1.1788,0.80643,1.11266,0.74789,0.66294,0.72433,0.41765,1.53768,1.13428,1.37016,0.000561279,0.000561279,0.000561279
69,2711.1,1.17309,0.80485,1.1168,0.7385,0.66604,0.72321,0.41895,1.54373,1.14039,1.37333,0.000544776,0.000544776,0.000544776
70,2740.78,1.16556,0.80914,1.11437,0.74074,0.66018,0.71691,0.41781,1.54363,1.14177,1.3696,0.000528272,0.000528272,0.000528272
71,2770.59,1.16484,0.79823,1.1162,0.74676,0.65356,0.71908,0.41772,1.53847,1.15289,1.37176,0.000511769,0.000511769,0.000511769
72,2800.56,1.16849,0.79815,1.10972,0.75256,0.65507,0.72249,0.4219,1.53795,1.13771,1.37985,0.000495266,0.000495266,0.000495266
73,2830.42,1.17162,0.7932,1.10879,0.74389,0.65504,0.71697,0.41423,1.54405,1.14812,1.37393,0.000478762,0.000478762,0.000478762
74,2861.2,1.15003,0.78003,1.1039,0.74922,0.65336,0.71923,0.41521,1.53604,1.14585,1.37109,0.000462259,0.000462259,0.000462259
